gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q			Legend:	
WDR16	WD repeat domain 16	2017	12	0	0	0	0	1	2	3	3	2	2.26E-01	6.50E-03	2.54E-01	5.46E-03	5.95E-01				
TP63	tumor protein p63	2256	50	0	1	4	3	1	1	9	9	9	1.32E-03	1	2.62E-01	5.76E-03	6.20E-01				
CDK11A	cyclin-dependent kinase 11A	2492	6	0	0	0	1	0	2	3	3	2	3.98E-01	4.20E-03	1.44E-01	5.76E-03	6.20E-01				
ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	2500	9	0	0	4	0	1	0	5	5	5	2.37E-02	1	1.90E-02	5.87E-03	6.27E-01				
FCRLA	Fc receptor-like A	1191	48	0	0	4	0	0	0	4	4	3	1.04E-01	6.90E-03	3.97E-01	5.92E-03	6.27E-01				
RNF19B	ring finger protein 19B	2255	2	0	1	2	0	0	2	4	4	3	3.79E-02	1.60E-02	8.91E-01	5.93E-03	6.27E-01				
MTMR4	myotubularin related protein 4	3656	6	0	1	8	0	0	0	8	8	7	3.40E-02	2.00E-02	4.13E-01	6.13E-03	6.40E-01				
FBXO11	F-box protein 11	2930	7	0	0	6	2	1	0	9	8	8	1.07E-02	6.20E-02	7.29E-01	6.16E-03	6.40E-01				
SLC16A1	"solute carrier family 16, member 1 (monocarboxylic acid transporter 1)"	1578	133	0	0	0	0	0	2	2	2	1	7.52E-02	1.00E-02	6.89E-01	6.16E-03	6.40E-01				
HIST1H3I	"histone cluster 1, H3i"	411	4	0	3	10	0	0	0	10	10	9	1.48E-01	4.50E-03	8.59E-01	6.30E-03	6.45E-01				
OSBPL1A	oxysterol binding protein-like 1A	2982	25	0	0	8	0	0	1	9	9	9	7.73E-04	1	8.69E-01	6.31E-03	6.45E-01				
IKBKB	"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta"	2885	105	0	2	5	0	0	0	5	5	4	2.15E-01	8.45E-02	2.60E-03	6.31E-03	6.45E-01				
BMP5	bone morphogenetic protein 5	1389	44	0	1	8	0	1	1	10	7	10	2.11E-02	1	8.70E-03	6.50E-03	6.61E-01				
CDKN2A	"cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)"	939	4	0	2	6	4	1	0	11	11	10	2.13E-03	7.88E-01	9.10E-02	6.78E-03	6.85E-01				
PML	promyelocytic leukemia	3914	10	0	2	4	0	0	1	5	5	5	3.15E-01	6.80E-03	3.09E-01	6.87E-03	6.90E-01				
MTM1	myotubularin 1	1896	109	0	1	4	0	0	0	4	4	3	1.42E-01	5.40E-03	8.83E-01	6.96E-03	6.95E-01				
ITSN2	intersectin 2	5295	12	0	1	11	0	0	1	12	11	12	2.27E-03	1	3.57E-01	7.03E-03	6.98E-01				
USP7	ubiquitin specific peptidase 7 (herpes virus-associated)	3462	20	0	3	8	1	3	1	13	12	13	1.61E-03	1	2.52E-01	7.07E-03	6.98E-01				
SLC2A14	"solute carrier family 2 (facilitated glucose transporter), member 14"	1755	29	0	1	5	0	1	0	6	6	6	1.18E-02	1	4.40E-02	7.29E-03	7.06E-01				
PDS5B	"PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)"	4476	10	0	2	4	0	1	2	7	7	6	9.21E-02	9.70E-03	9.82E-01	7.29E-03	7.06E-01				
ZNF595	zinc finger protein 595	325	49	0	0	3	0	1	0	4	4	4	9.14E-04	1	7.01E-01	7.31E-03	7.06E-01				
PHF6	PHD finger protein 6	1237	40	0	0	1	2	1	0	4	4	4	3.88E-03	1	1.01E-01	7.34E-03	7.06E-01				
HRG	histidine-rich glycoprotein	1602	30	0	1	3	0	0	0	3	3	3	9.82E-02	1	8.30E-03	7.37E-03	7.06E-01				
AMBRA1	autophagy/beclin-1 regulator 1	3961	15	0	1	8	1	1	1	11	10	11	9.24E-04	1	9.68E-01	7.38E-03	7.06E-01				
ARMC2	armadillo repeat containing 2	2668	1	0	0	2	1	0	0	3	3	2	1.00E-01	1.19E-01	2.52E-02	7.43E-03	7.08E-01				
PREX2	"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"	4977	5	0	2	15	0	2	0	17	13	17	2.18E-01	1	1.03E-03	7.54E-03	7.14E-01				
UPF3B	UPF3 regulator of nonsense transcripts homolog B (yeast)	1492	45	0	0	1	0	2	0	3	3	3	5.17E-02	1	3.80E-03	7.79E-03	7.33E-01				
DDX3X	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked"	2234	1	0	3	14	1	1	0	16	16	16	2.67E-03	4.58E-01	3.09E-01	7.89E-03	7.39E-01				
PAX5	paired box 5	1243	11	0	2	5	1	3	0	9	6	8	1.01E-03	1	9.69E-01	8.00E-03	7.46E-01				
ZCCHC10	"zinc finger, CCHC domain containing 10"	737	888	0	0	2	0	0	0	2	2	1	1.04E-01	1.06E-02	2.41E-01	8.20E-03	7.58E-01				
TMED6	transmembrane emp24 protein transport domain containing 6	735	22	0	0	5	1	0	0	6	6	6	1.05E-03	1	7.97E-01	8.25E-03	7.58E-01				
GRIP1	glutamate receptor interacting protein 1	3483	0	0	0	4	0	0	0	4	4	3	2.07E-01	4.70E-03	6.85E-01	8.28E-03	7.58E-01				
TRRAP	transformation/transcription domain-associated protein	11917	1	0	6	16	0	0	0	16	15	14	5.03E-01	1.80E-03	8.35E-01	8.30E-03	7.58E-01				
RSF1	remodeling and spacing factor 1	4386	45	0	1	8	0	1	0	9	9	9	5.66E-03	1	1.10E-01	8.38E-03	7.62E-01				
TLK1	tousled-like kinase 1	2492	12	0	0	3	0	0	0	3	3	2	2.39E-01	4.50E-03	9.31E-01	8.44E-03	7.63E-01				
LTBP1	latent transforming growth factor beta binding protein 1	5354	7	0	0	7	0	0	0	7	7	6	4.77E-02	2.00E-02	8.07E-01	8.57E-03	7.71E-01				
NSD1	nuclear receptor binding SET domain protein 1	8261	3	0	2	4	0	1	0	5	5	5	3.17E-01	1	8.00E-04	8.66E-03	7.76E-01				
SBF1	SET binding factor 1	5845	50	0	3	7	2	2	2	13	12	13	1.14E-03	1	8.55E-01	8.85E-03	7.88E-01				
CORIN	"corin, serine peptidase"	3459	11	0	2	3	0	0	0	3	3	2	3.48E-01	2.90E-03	8.06E-01	8.92E-03	7.88E-01				
CETN1	"centrin, EF-hand protein, 1"	519	626	0	0	1	0	0	1	2	2	2	3.83E-02	1	1.70E-02	8.93E-03	7.88E-01				
FAAH2	fatty acid amide hydrolase 2	1639	6	0	0	5	0	1	0	6	6	6	5.98E-03	1	1.69E-01	9.33E-03	8.16E-01				
BTK	Bruton agammaglobulinemia tyrosine kinase	2048	12	0	1	5	1	1	1	8	8	8	1.21E-03	1	6.26E-01	9.33E-03	8.16E-01				
PCDHGB6	"protocadherin gamma subfamily B, 6"	2805	37	0	1	4	1	0	0	5	5	5	1.42E-01	1	2.10E-03	9.43E-03	8.19E-01				
BCL9	B-cell CLL/lymphoma 9	4305	3	0	0	7	0	0	0	7	6	7	3.33E-02	1	2.60E-02	9.50E-03	8.19E-01				
P2RY8	"purinergic receptor P2Y, G-protein coupled, 8"	2160	2	0	3	27	2	0	1	30	20	29	1.96E-02	4.84E-01	3.20E-02	9.51E-03	8.19E-01				
RPL10	ribosomal protein L10	665	9	0	1	4	0	1	0	5	5	5	4.64E-03	1	1.90E-01	9.56E-03	8.20E-01				
OSBPL10	oxysterol binding protein-like 10	2339	14	0	2	7	1	0	0	8	7	7	4.30E-02	3.20E-02	6.03E-01	9.87E-03	8.43E-01				
MICB	MHC class I polypeptide-related sequence B	1230	15	0	0	4	1	0	0	5	5	5	2.84E-03	1	3.45E-01	1.00E-02	8.50E-01				
KDSR	3-ketodihydrosphingosine reductase	1035	53	0	0	1	0	1	1	3	3	3	1.92E-02	1	5.90E-02	1.02E-02	8.63E-01				
ZC2HC1C	"zinc finger, C2HC-type containing 1C"	1375	12	0	0	1	1	0	0	2	2	2	8.66E-02	1	1.50E-02	1.05E-02	8.80E-01				
PIM2	pim-2 oncogene	956	1	0	4	6	0	1	0	7	7	7	5.84E-01	1.60E-03	2.77E-01	1.06E-02	8.80E-01				
GPR87	G protein-coupled receptor 87	1081	78	0	0	4	0	0	0	4	4	4	2.56E-02	1	3.70E-02	1.07E-02	8.80E-01				
MUC5B	"mucin 5B, oligomeric mucus/gel-forming"	17490	0	0	9	12	0	1	0	13	13	13	8.74E-01	1	2.50E-04	1.07E-02	8.80E-01				
LRIG3	leucine-rich repeats and immunoglobulin-like domains 3	3490	2	0	1	12	2	1	0	15	14	15	1.41E-03	1	7.08E-01	1.07E-02	8.80E-01				
ZBTB22	zinc finger and BTB domain containing 22	1905	4	0	0	3	0	0	0	3	3	3	2.89E-02	1	4.40E-02	1.07E-02	8.80E-01				
PANX3	pannexin 3	1191	48	0	0	3	1	0	0	4	4	3	1.24E-02	1.54E-01	6.96E-01	1.09E-02	8.87E-01				
TPP2	tripeptidyl peptidase II	3905	4	0	0	3	2	2	0	7	7	7	1.45E-03	1	2.88E-01	1.09E-02	8.87E-01				
ZNF225	zinc finger protein 225	2176	25	0	0	5	0	0	0	5	5	4	2.96E-01	1.43E-02	1.88E-01	1.09E-02	8.87E-01				
METTL13	methyltransferase like 13	2147	65	0	1	4	0	0	0	4	4	3	2.81E-01	1.31E-02	4.19E-01	1.10E-02	8.88E-01				
C15orf48	chromosome 15 open reading frame 48	264	51	0	0	0	0	0	2	2	2	2	6.29E-03	1	1.43E-01	1.12E-02	9.00E-01				
EHD1	EH-domain containing 1	1621	0	0	5	9	1	0	0	10	9	10	2.88E-01	3.80E-03	7.94E-01	1.12E-02	9.00E-01				
GRM4	"glutamate receptor, metabotropic 4"	3326	0	0	0	8	0	0	0	8	8	7	4.86E-02	3.00E-02	4.33E-01	1.13E-02	9.00E-01				
IQSEC1	IQ motif and Sec7 domain 1	2944	32	0	0	3	0	0	0	3	3	2	3.66E-01	4.20E-03	8.36E-01	1.15E-02	9.13E-01				
KIAA0753	KIAA0753	2972	7	0	1	2	1	0	1	4	4	3	2.25E-01	5.70E-03	9.30E-01	1.16E-02	9.16E-01				
SEMA3C	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C"	2395	37	0	4	15	1	0	0	16	14	16	1.59E-03	1	9.32E-01	1.18E-02	9.31E-01				
MUC17	"mucin 17, cell surface associated"	13530	2	0	4	30	2	0	0	32	25	32	9.39E-03	1	9.50E-02	1.19E-02	9.31E-01				
GABRG2	"gamma-aminobutyric acid (GABA) A receptor, gamma 2"	1588	12	0	0	7	0	1	1	9	8	8	2.68E-02	1	1.25E-02	1.20E-02	9.37E-01				
ARID1A	AT rich interactive domain 1A (SWI-like)	6934	7	0	2	5	2	0	5	12	11	11	1.66E-03	1	5.53E-01	1.23E-02	9.55E-01				
SOCS1	suppressor of cytokine signaling 1	636	0	0	9	21	4	0	2	27	16	21	1.68E-03	1	4.49E-01	1.24E-02	9.59E-01				
GZMA	"granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)"	805	131	0	0	2	0	0	1	3	3	3	1.48E-02	1	9.10E-02	1.25E-02	9.65E-01				
SRP54	signal recognition particle 54kDa	1571	14	0	0	3	0	0	0	3	3	3	2.56E-02	1	4.10E-02	1.26E-02	9.66E-01				
C8orf4	chromosome 8 open reading frame 4	321	573	0	0	2	1	0	0	3	3	3	1.73E-03	1	5.82E-01	1.27E-02	9.66E-01				
ERBB2IP	erbb2 interacting protein	4479	23	0	2	3	2	1	0	6	4	5	3.48E-01	8.30E-03	1.26E-01	1.28E-02	9.66E-01				
KCTD19	potassium channel tetramerisation domain containing 19	2841	16	0	0	3	1	0	2	6	5	6	1.74E-03	1	7.08E-01	1.28E-02	9.66E-01				
CCDC74A	coiled-coil domain containing 74A	1766	35	0	0	3	0	0	0	3	3	2	2.13E-01	6.80E-03	9.01E-01	1.29E-02	9.66E-01				
HIST1H2BJ	"histone cluster 1, H2bj"	382	0	0	7	18	0	0	1	19	11	18	2.70E-02	4.10E-02	8.59E-01	1.29E-02	9.66E-01				
TNIP1	TNFAIP3 interacting protein 1	2046	3	0	0	6	3	1	1	11	9	11	1.77E-03	1	4.89E-01	1.30E-02	9.66E-01				
GPC4	glypican 4	1703	18	0	0	5	0	1	0	6	6	6	9.65E-03	1	1.25E-01	1.30E-02	9.66E-01				
EPX	eosinophil peroxidase	2192	19	0	0	7	1	0	0	8	8	8	1.78E-03	1	7.54E-01	1.30E-02	9.66E-01				
CBS	cystathionine-beta-synthase	1758	1	0	0	2	0	1	0	3	3	3	1.00E-01	1	1.11E-02	1.32E-02	9.77E-01				
RPL22	ribosomal protein L22	420	82	0	0	0	0	1	2	3	3	3	1.83E-03	1	5.95E-01	1.34E-02	9.82E-01				
KIF24	kinesin family member 24	4151	0	0	0	3	0	1	2	6	6	6	2.04E-02	1	6.50E-02	1.34E-02	9.82E-01				
VMO1	vitelline membrane outer layer 1 homolog (chicken)	651	39	0	1	2	0	0	0	2	2	1	1.85E-01	1.06E-01	1.43E-02	1.35E-02	9.87E-01				
CHD4	chromodomain helicase DNA binding protein 4	5971	61	0	4	11	1	0	0	12	11	11	6.97E-02	1.32E-01	4.80E-02	1.37E-02	9.91E-01				
GLRX	glutaredoxin (thioltransferase)	325	7	0	0	0	1	0	0	1	1	1	1.37E-02	NaN	NaN	1.37E-02	9.91E-01				
SNAPC2	"small nuclear RNA activating complex, polypeptide 2, 45kDa"	1021	9	0	0	1	1	0	0	2	2	2	4.74E-02	1	4.00E-02	1.38E-02	9.91E-01				
ERP29	endoplasmic reticulum protein 29	794	186	0	0	2	0	0	0	2	2	1	1.90E-01	1.00E-02	1.29E-01	1.38E-02	9.91E-01				
KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	718	10	0	1	2	0	0	0	2	2	1	1.93E-01	1.00E-02	2.98E-01	1.40E-02	1				
F7	coagulation factor VII (serum prothrombin conversion accelerator)	1478	24	0	0	0	0	2	0	2	2	2	1.96E-01	1	1.00E-02	1.42E-02	1				
ZNF410	zinc finger protein 410	1717	55	0	0	2	0	0	0	2	2	2	1.96E-01	1	1.00E-02	1.42E-02	1				
SYNJ1	synaptojanin 1	4996	22	0	1	7	1	0	0	8	8	8	9.19E-03	1	2.01E-01	1.42E-02	1				
CLDN6	claudin 6	692	21	0	0	4	0	0	0	4	4	4	1.98E-03	1	5.14E-01	1.43E-02	1				
NME9	NME/NM23 family member 9	1082	149	0	0	3	1	0	0	4	4	4	9.42E-03	1	2.09E-01	1.43E-02	1				
GPR183	G protein-coupled receptor 183	1086	61	0	0	4	1	0	0	5	4	5	1.69E-02	1	8.40E-02	1.43E-02	1				
ALDH1B1	"aldehyde dehydrogenase 1 family, member B1"	1554	24	0	0	1	2	0	0	3	3	2	4.88E-02	3.90E-02	8.71E-01	1.44E-02	1				
SERP1	stress-associated endoplasmic reticulum protein 1	327	2	0	0	2	0	0	0	2	2	2	1.89E-02	1	6.80E-02	1.45E-02	1				
ELK3	"ELK3, ETS-domain protein (SRF accessory protein 2)"	1238	6	0	2	5	1	1	0	7	6	7	2.02E-03	1	8.92E-01	1.45E-02	1				
RASA2	RAS p21 protein activator 2	2645	148	0	2	2	4	0	2	8	7	7	2.03E-03	5.63E-01	7.16E-01	1.46E-02	1				
AAGAB	alpha- and gamma-adaptin binding protein	984	34	0	0	3	0	0	0	3	3	2	4.24E-02	4.80E-02	8.70E-01	1.47E-02	1				
PPL	periplakin	5355	19	0	2	9	1	2	0	12	11	12	1.73E-02	1	6.20E-02	1.49E-02	1				
FRG1B	"FSHD region gene 1 family, member B"	573	34	0	0	2	2	0	0	4	4	4	1.50E-02	NaN	NaN	1.50E-02	1				
CSPG4	chondroitin sulfate proteoglycan 4	7005	4	0	0	9	0	0	1	10	10	10	2.24E-02	1	3.50E-02	1.52E-02	1				
HIST4H4	"histone cluster 4, H4"	312	1	0	2	9	1	0	0	10	10	9	3.70E-03	4.71E-01	4.94E-01	1.55E-02	1				
DYM	dymeclin	2125	6	0	0	1	0	1	0	2	2	2	3.97E-02	1	5.00E-02	1.56E-02	1				
LY6G6D	"lymphocyte antigen 6 complex, locus G6D"	410	1288	0	0	3	0	0	0	3	3	3	1.06E-02	1	1.70E-01	1.57E-02	1				
CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2	468	458	0	0	3	1	0	0	4	4	4	2.20E-03	1	3.95E-01	1.57E-02	1				
KIAA0226L	KIAA0226-like	2176	127	0	1	7	0	0	1	8	5	8	7.40E-02	2.60E-02	3.87E-01	1.58E-02	1				
CELA3A	"chymotrypsin-like elastase family, member 3A"	843	16	0	0	5	0	0	0	5	5	5	2.23E-03	1	7.18E-01	1.58E-02	1				
DSC1	desmocollin 1	2783	38	0	1	11	3	0	0	14	12	14	2.27E-03	1	4.47E-01	1.61E-02	1				
VPS39	vacuolar protein sorting 39 homolog (S. cerevisiae)	2761	15	0	1	4	0	0	0	4	4	3	4.58E-01	5.00E-03	1.84E-01	1.62E-02	1				
RFTN1	"raftlin, lipid raft linker 1"	1808	1	0	5	11	2	6	0	19	13	15	8.20E-02	2.00E-02	9.45E-01	1.62E-02	1				
PIP5K1A	"phosphatidylinositol-4-phosphate 5-kinase, type I, alpha"	1831	8	0	2	3	0	0	0	3	3	3	4.68E-01	4.60E-03	1.13E-01	1.65E-02	1				
MORN5	MORN repeat containing 5	589	8	0	1	2	1	0	0	3	3	3	3.28E-02	1	1.90E-02	1.67E-02	1				
SLAMF6	SLAM family member 6	1027	47	0	0	2	1	1	0	4	3	4	1.94E-02	1	9.70E-02	1.67E-02	1				
FBXW7	F-box and WD repeat domain containing 7	2662	45	0	1	5	1	0	1	7	7	7	1.11E-02	1	1.57E-01	1.68E-02	1				
PAPOLA	poly(A) polymerase alpha	2450	83	0	1	3	0	1	2	6	6	6	2.42E-03	1	6.77E-01	1.70E-02	1				
IZUMO1	izumo sperm-egg fusion 1	1085	36	0	0	3	1	0	0	4	4	4	9.79E-03	1	1.76E-01	1.71E-02	1				
GPR133	G protein-coupled receptor 133	2935	7	0	1	6	0	3	0	9	9	9	3.72E-03	1	6.29E-01	1.71E-02	1				
TMC1	transmembrane channel-like 1	2359	11	0	1	8	1	0	0	9	9	9	6.46E-03	1	3.13E-01	1.71E-02	1				
SCAF11	SR-related CTD-associated factor 11	4478	6	0	1	4	0	0	0	4	4	4	2.98E-01	1	4.30E-03	1.72E-02	1				
OR1A1	"olfactory receptor, family 1, subfamily A, member 1"	930	25	0	0	2	0	0	0	2	2	2	2.54E-01	1	1.00E-02	1.77E-02	1				
CNGB3	cyclic nucleotide gated channel beta 3	2498	10	0	0	9	0	0	1	10	10	10	1.77E-02	1	9.20E-02	1.79E-02	1				
KRTAP10-8	keratin associated protein 10-8	780	23	0	1	4	0	0	0	4	4	4	6.98E-03	1	1.78E-01	1.81E-02	1				
SFXN4	sideroflexin 4	1066	4	0	0	0	4	0	0	4	4	4	2.62E-03	1	7.20E-01	1.82E-02	1				
ZRANB3	"zinc finger, RAN-binding domain containing 3"	3339	4	0	0	3	0	0	0	3	3	3	7.27E-01	1	2.00E-03	1.82E-02	1				
DNAJB6	"DnaJ (Hsp40) homolog, subfamily B, member 6"	1046	51	0	0	1	0	1	0	2	2	2	1.45E-01	1	1.55E-02	1.83E-02	1				
RNF17	ring finger protein 17	5024	26	0	4	6	0	1	0	7	7	6	3.31E-01	1.50E-02	2.51E-01	1.86E-02	1				
MX1	"myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)"	2037	47	0	1	3	0	1	0	4	4	4	3.54E-02	1	6.80E-02	1.86E-02	1				
STOML3	stomatin (EPB72)-like 3	927	181	0	0	5	0	0	0	5	5	5	2.18E-02	1	7.60E-02	1.88E-02	1				
TTC18	tetratricopeptide repeat domain 18	3474	168	0	2	4	0	0	0	4	4	4	4.87E-01	5.40E-03	9.82E-01	1.88E-02	1				
ZMAT1	"zinc finger, matrin type 1"	1939	30	0	1	3	0	0	0	3	3	3	2.08E-01	1	5.20E-03	1.88E-02	1				
PMM2	phosphomannomutase 2	769	95	0	0	0	2	0	0	2	2	2	5.19E-02	1	5.30E-02	1.90E-02	1				
SMC4	structural maintenance of chromosomes 4	3955	4	0	0	7	0	0	0	7	7	7	2.04E-02	1	8.60E-02	1.90E-02	1				
MGAT5B	"mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B"	2548	7	0	0	5	1	0	1	7	7	7	2.77E-03	1	7.78E-01	1.91E-02	1				
TRIM68	tripartite motif-containing 68	1478	19	0	0	3	0	0	0	3	3	2	1.21E-01	9.60E-02	3.20E-02	1.92E-02	1				
FCRL4	Fc receptor-like 4	1592	184	0	1	5	0	1	0	6	6	6	3.64E-02	1	6.60E-02	1.95E-02	1				
USP17L2	ubiquitin specific peptidase 17-like 2	1593	6	0	2	5	0	0	0	5	5	5	1.36E-01	3.20E-02	3.21E-01	1.96E-02	1				
CNDP1	carnosine dipeptidase 1 (metallopeptidase M20 family)	1568	9	0	0	4	0	2	0	6	6	6	2.90E-03	1	9.02E-01	1.99E-02	1				
GPR82	G protein-coupled receptor 82	1011	7	0	1	4	0	0	0	4	4	4	1.73E-02	1	1.08E-01	1.99E-02	1				
TTLL5	"tubulin tyrosine ligase-like family, member 5"	4195	4	0	0	5	0	1	0	6	6	6	5.24E-02	1	4.50E-02	2.00E-02	1				
COLEC12	collectin sub-family member 12	2265	33	0	2	4	0	0	1	5	5	4	1.84E-01	2.40E-02	6.24E-01	2.01E-02	1				
MAP3K6	mitogen-activated protein kinase kinase kinase 6	3979	1	0	1	2	0	3	0	5	5	4	1.85E-01	2.80E-02	4.10E-01	2.02E-02	1				
LRFN4	leucine rich repeat and fibronectin type III domain containing 4	2039	10	0	1	1	1	0	0	2	2	2	2.97E-01	1	1.00E-02	2.02E-02	1				
PTPRH	"protein tyrosine phosphatase, receptor type, H"	3424	14	0	0	10	1	0	0	11	10	11	2.99E-03	1	9.61E-01	2.04E-02	1				
RRN3	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	2090	10	0	0	2	0	0	0	2	2	2	1.12E-01	1	2.40E-02	2.06E-02	1				
WHSC1	Wolf-Hirschhorn syndrome candidate 1	4493	6	0	0	7	0	0	0	7	7	6	4.44E-02	6.20E-02	5.74E-01	2.08E-02	1				
CHMP1A	chromatin modifying protein 1A	767	23	0	0	5	0	1	0	6	5	6	7.61E-03	1	2.93E-01	2.08E-02	1				
C20orf194	chromosome 20 open reading frame 194	3738	2	0	0	5	0	2	0	7	7	7	1.33E-02	1	1.70E-01	2.09E-02	1				
ZNF782	zinc finger protein 782	2112	97	0	0	4	0	0	0	4	4	4	9.33E-02	1	1.90E-02	2.09E-02	1				
TXNIP	thioredoxin interacting protein	1204	6	0	2	3	0	0	0	3	3	3	2.46E-01	1	2.70E-03	2.10E-02	1				
LRRN4	leucine rich repeat neuronal 4	2235	68	0	1	3	0	0	0	3	3	2	4.32E-01	6.90E-03	7.35E-01	2.11E-02	1				
DNER	delta/notch-like EGF repeat containing	2262	107	0	2	8	0	0	0	8	8	7	9.74E-02	1.55E-01	1.18E-01	2.11E-02	1				
PCDHGA7	"protocadherin gamma subfamily A, 7"	2811	36	0	1	4	0	0	0	4	4	3	3.04E-01	9.70E-03	9.17E-01	2.12E-02	1				
INHBE	"inhibin, beta E"	1057	5	0	0	3	0	1	0	4	4	4	7.34E-03	1	3.18E-01	2.13E-02	1				
RNF40	ring finger protein 40	3078	48	0	1	6	1	0	0	7	6	7	6.69E-02	1	1.30E-02	2.14E-02	1				
ATRX	"alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)"	7627	4	0	1	15	1	0	1	17	17	17	7.83E-03	1	3.08E-01	2.15E-02	1				
KRT71	keratin 71	1604	13	0	2	3	0	0	0	3	3	3	2.67E-01	1	9.00E-03	2.16E-02	1				
SELO		2042	25	0	0	1	0	1	1	3	3	3	7.29E-02	1	2.00E-02	2.16E-02	1				
PKD2L1	polycystic kidney disease 2-like 1	2478	23	0	1	3	1	0	0	4	4	4	2.61E-02	1	1.22E-01	2.16E-02	1				
PYGO2	pygopus homolog 2 (Drosophila)	1229	15	0	0	2	0	0	0	2	2	2	3.21E-01	1.00E-02	5.72E-01	2.17E-02	1				
CECR2	"cat eye syndrome chromosome region, candidate 2"	4401	2	0	1	5	0	0	0	5	5	5	2.48E-01	1.06E-02	5.58E-01	2.18E-02	1				
PHF23	PHD finger protein 23	1252	55	0	0	2	2	0	0	4	3	4	4.19E-02	1	5.30E-02	2.20E-02	1				
ITGB3	"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"	2593	17	0	0	4	0	1	0	5	5	5	1.53E-02	1	1.91E-01	2.20E-02	1				
TLR6	toll-like receptor 6	2391	21	0	2	4	0	0	0	4	4	3	3.15E-01	8.90E-03	8.65E-01	2.20E-02	1				
ADAR	"adenosine deaminase, RNA-specific"	3883	5	0	0	4	2	0	0	6	6	6	1.22E-02	1	2.40E-01	2.22E-02	1				
MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	2725	2	0	0	6	0	2	0	8	8	8	1.08E-02	1	2.39E-01	2.22E-02	1				
COL5A2	"collagen, type V, alpha 2"	4712	35	0	1	8	0	0	1	9	9	9	1.40E-02	1	2.07E-01	2.23E-02	1				
TRAF6	TNF receptor-associated factor 6	1589	46	0	0	2	3	0	0	5	5	4	2.55E-02	1.06E-01	4.72E-01	2.24E-02	1				
EHBP1	EH domain binding protein 1	3788	100	0	3	11	1	0	2	14	11	14	3.34E-03	1	9.75E-01	2.24E-02	1				
COL4A6	"collagen, type IV, alpha 6"	5748	103	0	3	5	1	3	1	10	10	10	7.12E-03	1	2.98E-01	2.26E-02	1				
VMP1	vacuole membrane protein 1	1261	2	0	4	10	1	1	0	12	12	10	2.11E-01	1.15E-02	9.12E-01	2.27E-02	1				
CHD8	chromodomain helicase DNA binding protein 8	7898	0	0	0	10	0	1	1	12	11	12	3.27E-02	1	7.40E-02	2.28E-02	1				
ZNF180	zinc finger protein 180	2226	26	0	1	3	1	0	0	4	4	4	2.58E-01	9.50E-03	9.86E-01	2.29E-02	1				
PLCG2	"phospholipase C, gamma 2 (phosphatidylinositol-specific)"	3922	9	0	2	7	1	2	0	10	10	10	1.49E-02	1	1.66E-01	2.31E-02	1				
EXOC4	exocyst complex component 4	3249	18	0	2	5	0	0	0	5	5	4	5.34E-01	1.18E-02	2.11E-01	2.31E-02	1				
CYP4F11	"cytochrome P450, family 4, subfamily F, polypeptide 11"	1621	15	0	2	3	1	1	0	5	5	5	1.05E-02	1	2.74E-01	2.36E-02	1				
TDRD6	tudor domain containing 6	6303	58	0	6	6	0	0	2	8	6	7	5.61E-01	5.20E-03	9.48E-01	2.38E-02	1				
OMD	osteomodulin	1270	39	0	0	4	0	0	0	4	4	4	2.59E-02	1	1.20E-01	2.43E-02	1				
SGCZ	sarcoglycan zeta	967	132	0	1	5	0	1	0	6	5	6	6.74E-01	1.60E-02	2.35E-01	2.45E-02	1				
PNMAL1	PNMA-like 1	1346	12	0	0	4	0	0	0	4	4	4	3.71E-03	1	9.47E-01	2.45E-02	1				
ZNF570	zinc finger protein 570	1799	81	0	1	3	0	0	0	3	3	2	5.90E-01	3.90E-03	9.79E-01	2.45E-02	1				
DMRTC2	DMRT-like family C2	1281	121	0	1	2	0	0	0	2	2	2	3.75E-01	1	1.00E-02	2.47E-02	1				
XPR1	xenotropic and polytropic retrovirus receptor	2147	13	0	1	3	0	0	0	3	3	3	1.64E-01	1	1.90E-02	2.48E-02	1				
